Abu al-Darda	Q1112739	586	653	26	Companion (Sahabi) of Muhammad (died 652 CE)
Abu Dharr al-Ghifari	Q1029610	UNKNOWN	652	41	Companion of Muhammad (died 652)
Abu Hurayra	Q69326	602	679	47	companion of Muhammad
Abu Kamil	Q335103	850	930	25	Islamic Mathematician
Abu Mansur al-Maturidi	Q12827721	893	944	34	Persian Muslim theologian (853–944)
Abu Musa al-Ash'ari	Q335170	602	665	31	Companion (Sahabi) of Muhammad
Abu Sufyan ibn Harb	Q335430	580	640	51	Quraysh tribal leader and merchant (c. 560 – 653)
Abu Tammam	Q1750054	804	845	35	Muslim Arab poet of Abbasid era (died 850)
Abu Ubayda ibn al-Jarrah	Q747731	581	639	48	companion of Muhammad and military leader (583–639)
Mumia Abu-Jamal	Q156133	1954	ALIVE	30	American political activist, journalist, and convicted murderer of a police officer
Lila Abu-Lughod	Q6547452	1952	ALIVE	14	Palestinian-American anthropologist
Abdulsalami Abubakar	Q262346	1942	ALIVE	38	Nigerian general and brief head of state
Abul Fazl	Q334752	1551	1602	36	Grand vizier of Mughal emperor Akbar from 1579 to 1602
Boy Abunda	Q4952054	1955	ALIVE	6	Filipino journalist
Bella Abzug	Q464724	1920	1998	39	American politician (1920-1998)
AC/DC	Q27593	UNKNOWN	ALIVE	97	Australian-British hard rock band
Lucius Accius	Q311287	-170	-84	29	Roman poet and literary scholar (170–c.86 BC)
Vito Acconci	Q433471	1940	2017	30	American designer, landscape architect, performance and installation artist (1940-2017)
Erik Acharius	Q365923	1757	1819	35	Swedish botanist (1757–1819)
Advaita Acharya	Q1994479	1434	1539	10	Indian Hindu saint
Forrest J Ackerman	Q18227	1916	2008	22	American collector of science fiction books and movie memorabilia (1916-2008)
Joan Acocella	Q6204798	1945	2024	6	American journalist, dance critic and writer
John Dalberg-Acton, 1st Baron Acton	Q311778	1834	1902	33	British politician and historian (1834–1902)
Roy Acuff	Q455773	1903	1992	25	American country music singer and fiddler (1903-1992)
Mitsuru Adachi	Q351742	1951	ALIVE	29	Japanese manga artist
Adad-nirari II	Q311573	-1000	-891	35	Assyrian king
Red Adair	Q589905	1915	2004	14	firefighter (1915–2004)
Robert Adam	Q312635	1728	1792	45	British neoclassical architect (1728–1792)
Modibo Adama	Q959476	1786	1847	11	Fulani scholar
Giuseppe Adami	Q1528102	1878	1946	17	Italian opera librettist (1878-1946)
Salvatore Adamo	Q312610	1943	ALIVE	40	Belgian recording artist of Italian birth; musician, songwriter, singer
Abigail Adams	Q206191	1744	1818	65	First Lady of the United States from 1797 to 1801
Amy Adams	Q481832	1974	ALIVE	93	American actress
Brooks Adams	Q929695	1848	1927	13	American political writer (1848–1927)
Bryan Adams	Q482907	1959	ALIVE	81	Canadian musician, singer, songwriter, record producer, and photographer
Douglas Adams	Q42	1952	2001	93	British science fiction writer and humorist (1952–2001)
Gerry Adams	Q76139	1948	ALIVE	45	Irish republican politician (born 1948)
Henry Adams	Q458390	1838	1918	37	American journalist, historian, academic, novelist (1838-1918)
John Adams	Q11806	1735	1826	155	Founding Father, U.S. president from 1797 to 1801
John Adams (composer)	Q84114	1947	ALIVE	40	American composer (born 1947)
John Quincy Adams	Q11816	1767	1848	140	President of the United States from 1825 to 1829
Maude Adams	Q437509	1872	1953	27	American actress (1872–1953)
Samuel Adams	Q212963	1722	1803	53	American statesman, political philosopher, governor of Massachusetts and Founding Father of the United States (1722-1803)
William Adams (samurai)	Q313866	1564	1620	36	English navigator who travelled to Japan
Charles Addams	Q361106	1912	1988	34	American cartoonist (1912–1988)
Henry Addington	Q312577	1757	1844	46	Prime Minister of the United Kingdom, 1801 to 1804
Joseph Addison	Q206384	1672	1719	50	English essayist, poet, playwright and politician (1672–1719)
King Sunny Adé	Q982678	1946	ALIVE	19	Nigerian musician
Adele	Q23215	1988	ALIVE	116	English singer-songwriter (born 1988)
Sheldon Adelson	Q319137	1933	2021	37	American businessman (1933–2021)
Wale Adenuga	Q7961665	1950	ALIVE	9	television producer
Clément Ader	Q313078	1841	1925	44	French inventor and engineer
Kemi Adetiba	Q18216886	1980	ALIVE	14	Nigerian music video director
Tomi Adeyemi	Q29418661	1993	ALIVE	17	Nigerian-American author
Adi ibn Zayd	Q12224537	UNKNOWN	600	14	Arab poet (550-600)
Chimamanda Ngozi Adichie	Q230141	1977	ALIVE	79	Nigerian writer (born 1977)
Kate Adie	Q595257	1945	ALIVE	13	British journalist (born 1945)
Aravind Adiga	Q296299	1974	ALIVE	44	Indian journalist and author
Isabelle Adjani	Q106383	1955	ALIVE	81	French actress
David Adjaye	Q1173530	1966	ALIVE	20	architect (born 1966)
Alfred Adler	Q152393	1870	1937	78	Austrian psychotherapist (1870–1937)
Felix Adler (professor)	Q1386165	1851	1933	16	German-American professor of political and social ethics, rationalist, and lecturer (1851-1933)
Guido Adler	Q78716	1855	1941	28	Austrian musicologist, writer (1855–1941)
Polly Adler	Q542337	1900	1962	8	American madam and author (1900–1962)
Stella Adler	Q32788	1901	1992	29	American actress and acting teacher (1901–1992)
Adolphe, Grand Duke of Luxembourg	Q57302	1817	1905	42	Duke of Nassau (1839–1866), later Grand Duke of Luxembourg (1890–1905)
Ferran Adrià	Q170317	1962	ALIVE	25	Spanish chef (born 1962)
Pope Adrian IV	Q132845	UNKNOWN	1159	79	Pope from 1154 to 1159
Adonis (poet)	Q380787	1930	ALIVE	48	Syrian poet, writer and translator (born 1930)
Endre Ady	Q211392	1877	1919	44	Hungarian poet (1877–1919)
Scipio Aemilianus	Q2307	-185	-129	46	Roman politician and general (185–129 BC)
Aerosmith	Q126826	UNKNOWN	ALIVE	78	American hard rock band
Aesop	Q43423	-620	-564	105	ancient Greek storyteller (619 BC–563 BC)
Æthelred the Unready	Q183499	967	1016	59	King of England
Ben Affleck	Q483118	1972	ALIVE	97	American film actor, director and screenwriter (born 1972)
Michel Aflaq	Q355416	1910	1989	38	Syrian philosopher, sociologist and Arab nationalist (1910–1989)
Kunle Afolayan	Q15981681	1975	ALIVE	18	Nigerian actor, director and producer
Afonso I of Kongo	Q383455	1456	1543	24	Ruler of the Kingdom of Kongo from 1509 to 1542/43
Afonso III of Portugal	Q295850	1210	1279	51	King of Portugal
José Afonso	Q559269	1929	1987	28	Portuguese singer, composer and politician (1929-1987)
Isaias Afwerki	Q57348	1946	ALIVE	67	president of Eritrea since 1993
Aga Khan III	Q366213	1877	1957	39	48th Imam of the Nizari Ismaili community (1877-1957)
Giorgio Agamben	Q311687	1942	ALIVE	44	Italian philosopher (b. 1942)
Andre Agassi	Q7407	1970	ALIVE	87	American tennis player (born 1970)
Agastya	Q390857	UNKNOWN	ALIVE	39	Vedic sage, father of Tamil language
Agathodaemon (alchemist)	Q19666011	UNKNOWN	ALIVE	4	alchemist
James Agee	Q352963	1909	1955	41	American author, journalist, poet, screenwriter and film critic (1909-1955)
Aglaonice	Q237867	UNKNOWN	UNKNOWN	39	ancient Greek astronomer, daughter of Hegetor
Gianni Agnelli	Q356351	1921	2003	34	Italian businessman; grandson of FIAT's founder (1921-2003)
Giovanni Agnelli	Q315610	1866	1945	38	Italian entrepreneur (1866–1945)
Maria Gaetana Agnesi	Q200392	1718	1799	74	Italian mathematician and philanthropist (1718–1799)
Shmuel Yosef Agnon	Q133042	1887	1970	86	Ukrainian-born Israeli Hebrew writer, Nobel laureate in Literature (1888–1970)
Giacomo Agostini	Q253450	1942	ALIVE	29	Italian motorcycle racer
Georgius Agricola	Q76579	1494	1555	57	German mineralogist (1494-1555)
Mikael Agricola	Q215346	1508	1557	54	Finnish clergyman and de facto founder of literary Finnish
Martin Agronsky	Q6774873	1915	1999	7	American journalist, television host (1915-1999)
Agüeybaná II	Q14789082	1470	1511	4	Taíno tribal leader and military chief
Antonio Aguilar	Q1958523	1919	2007	18	Mexican singer and actor (1919–2007)
Christina Aguilar	Q5110740	1966	ALIVE	14	Thai singer (born 1966)
Freddie Aguilar	Q983329	1953	2025	23	Filipino musician
Christina Aguilera	Q41594	1980	ALIVE	111	American singer, songwriter and actress
Lope de Aguirre	Q529197	1510	1561	29	Basque Spanish conquistador
Johnson Aguiyi-Ironsi	Q379888	1924	1966	33	Nigerian military leader (1924-1966)
A-ha	Q156305	UNKNOWN	ALIVE	50	Norwegian pop band
Bertie Ahern	Q154550	1951	ALIVE	49	11th Taoiseach of Ireland from 1997 to 2008
Ahmadou Ahidjo	Q298718	1924	1989	53	President of Cameroon (1924-1989)
Ahl al-Bayt	Q385139	UNKNOWN	ALIVE	57	family of Muhammad
Ahmad Al-Jaber Al-Sabah	Q400907	1885	1950	23	Ruler of the Sheikhdom of Kuwait from 1921 to 1950.
Ahmad bin Yahya	Q400961	1891	1962	22	Imam (1891-1962)
Ahmad bin Ali Al Thani	Q2827460	1920	1977	22	Emir of Qatar
Ahmad ibn Tulun	Q374374	835	884	33	Emir of Egypt and Syria from 868 to 884
Mirza Ghulam Ahmad	Q312952	1835	1908	52	Indian religious leader (1835–1908)
Mahmoud Ahmadinejad	Q34448	1956	ALIVE	108	6th President of the Islamic Republic of Iran from 2005 to 2013
Ahmed III	Q199482	1673	1736	69	23th Sultan of Ottoman Empire (1703–1730)
Nur Ahmed Aman	Q48724407	1841	1907	2	Garxajis tribal chief, ally of Sultan Diiriye Guure
Iajuddin Ahmed	Q165672	1931	2012	47	former president of Bangladesh (1931-2012)
Tajuddin Ahmad	Q2975772	1925	1975	28	Bangladeshi politician and first Prime Minister of Bangladesh (1925-1975)
Ahmose I	Q7222	-1560	-1525	60	Pharaoh of Ancient Egypt
Ahn Chang Ho	Q488735	1878	1938	18	Korean independence activist (1878–1938)
Ahn Sahng-hong	Q626456	1918	1985	8	South Korean religious leader (1918–1985)
Martti Ahtisaari	Q29230	1937	2023	95	President of Finland from 1994 to 2000
Ahuitzotl	Q351758	1450	1502	29	8th tlatoani of Tenochtitlan and ruler of the Aztec Triple Alliance
Ai Weiwei	Q160115	1957	ALIVE	54	Chinese Conceptual artist (born 1957)
Ilse Aichinger	Q93514	1921	2016	40	Austrian writer (1921–2016)
Mohamed Farrah Aidid	Q319160	1934	1996	31	Somali warlord (1934-1996)
Ama Ata Aidoo	Q298224	1942	2023	42	Ghanaian author and poet
Howard H. Aiken	Q299723	1900	1973	42	pioneer in computing, original conceptual designer behind IBM's Harvard Mark I computer (1900-1973)
Roger Ailes	Q983981	1940	2017	27	American TV executive and consultant (1940–2017)
Alvin Ailey	Q449037	1931	1989	42	African-American dancer, choreographer and activist (1931-1989)
Ben Ainslie	Q449073	1977	ALIVE	38	British competitive sailor
Mary Ainsworth	Q242625	1913	1999	31	American-Canadian psychologist & scholar
William Harrison Ainsworth	Q518359	1805	1882	25	English novelist (1805-1882)
Laurel Aitken	Q536566	1927	2005	20	Cuban singer (1927–2005)
Ivan Aivazovsky	Q181568	1817	1900	67	Russian marine painter (1817–1900)
Nancy Ajram	Q774155	1983	ALIVE	60	Lebanese singer and actress
Chioma Ajunwa	Q239638	1970	ALIVE	29	nigerian long jumper and olympic gold medallist
Isamu Akasaki	Q1673706	1929	2021	72	Japanese engineer (1929-2021)
Akashi Motojiro	Q171418	1864	1919	20	Imperial Japanese Army general (1864–1919)
Askar Akayev	Q489893	1944	ALIVE	51	1st and former President of Kyrgyzstan
AKB48	Q51118	UNKNOWN	ALIVE	70	Japanese female idol group
Naima Akef	Q3056176	1929	1966	20	Egyptian belly dancer, film actress, acrobat, and performer
Carl Akeley	Q1037711	1864	1926	15	American taxidermist, sculptor, biologist, conservationist, inventor, nature photographer (1864–1926)
George Akerlof	Q222541	1940	ALIVE	52	American economist and Koshland Professor of Economics
Jonas Åkerlund	Q455370	1965	ALIVE	29	Swedish director
Chantal Akerman	Q239823	1950	2015	41	Belgian film director, screenwriter, and educator (1950–2015)
Michelle Akers	Q232508	1966	ALIVE	38	American soccer player
Gabdulkhay Akhatov	Q25951	1927	1986	34	Soviet Tatar linguist (1927-1986)
Al-Akhtal al-Taghlibi	Q2385789	640	709	29	Iraqi poet (640-708)
Javed Akhtar	Q2319562	1945	ALIVE	32	Indian writer, poet and lyricist
Zoya Akhtar	Q3070885	1974	ALIVE	32	Indian film director
Mirza Fatali Akhundov	Q315158	1812	1878	40	Iranian Azerbaijani playwright and literary critic
Hibatullah Akhundzada	Q24237654	1967	ALIVE	68	Supreme Leader of Afghanistan since 2021
Akihito	Q37979	1933	ALIVE	119	Emperor of Japan from 1989 to 2019
Yasushi Akimoto	Q457860	1958	ALIVE	24	Japanese producer and lyricist (born 1958)
Toshiko Akiyoshi	Q437117	1929	ALIVE	24	Japanese American jazz pianist, composer, arranger, band master
Sezen Aksu	Q298139	1954	ALIVE	50	Turkish singer-songwriter and record producer (born 1954)
Vasily Aksyonov	Q315185	1932	2009	40	Soviet-American writer (1932-2009)
Boris Akunin	Q125663	1956	ALIVE	50	Russian writer, translation, and historian
Isa bin Salman Al Khalifa	Q309650	1933	1999	35	Emir of Bahrain (1961-1999)
Jamal al-Din al-Afghani	Q298434	1838	1897	52	Political activist and Islamic ideologist (1838–1897)
Abu Ayyub al-Ansari	Q334813	UNKNOWN	674	36	Companion and the standard-bearer of Muhammad
Abu al-Hasan al-Ash'ari	Q316349	873	935	46	Muslim theologian (874–936)
Hasan al-Askari	Q315920	845	874	35	eleventh of the Twelve Shia Imams
Abu Bakr al-Baghdadi	Q2821724	1971	2019	85	Leader of the Islamic State (1971-2019)
Hassan al-Banna	Q230291	1906	1949	47	Egyptian Islamist leader and politician (1906—1949)
Muhammad al-Baqir	Q311153	677	733	41	Fifth of the Twelve Shia Imams
Abdel Fattah al-Burhan	Q63111184	1960	ALIVE	45	President of the Sovereignty Council of Sudan
Al-Dhahabi	Q293554	1274	1348	33	Syrian Islamic historian and Hadith scholar (1274–1348)
Jalal Al-e-Ahmad	Q1399341	1923	1969	23	writer, thinker, and social and political critic (1923-1969)
Al-Farazdaq	Q591558	641	728	21	Arab poet (c. 641-728/30)
Ismail al-Faruqi	Q3595661	1921	1986	52	Palestinian-American Muslim philosopher and scholar (1921–1986)
Al-Hariri of Basra	Q286097	1054	1122	24	Arab poet and scholar (1054–1122)
Ahmed al-Sharaa	Q7934206	1982	ALIVE	72	President of Syria since 2025
Al-Juwayni	Q2584074	1028	1085	24	Muslim scholar and theologian (1028–1085)
Yusuf al-Khal	Q532033	1917	1987	9	poet (1917-1987)
Muhammad al-Mahdi	Q8917042	869	UNKNOWN	43	twelfth and last Imam in Shia Twelver of Islam
Nouri al-Maliki	Q57673	1950	ALIVE	54	Prime Minister of Iraq from 2006 to 2014
Mukhtar al-Thaqafi	Q141317	622	687	31	Pro-Alid Arab revolutionary (c.622–687)
Abd al-Mu'min	Q307312	1094	1163	36	First Caliph of the Almohads
Al-Nabigha	Q248308	535	604	18	pre-Islamic Arab poet
Sultan bin Muhammad Al-Qasimi	Q754778	1939	ALIVE	23	Member of the Supreme Council of the United Arab Emirates
Ali al-Rida	Q25105	770	818	47	eighth of the Twelve Shia Imams (766–818)
Abdullah Al-Salim Al-Sabah	Q2183167	1895	1965	25	Ruler of Sheikhdom of Kuwait from 1950 to 1965
Ibn Babawayh	Q2743660	918	991	23	Buyid shiite scholar
Al-Suyuti	Q468432	1445	1505	34	Egyptian polymath, historian, sufi and jurist (1445–1505)
Al Waleed bin Talal Al Saud	Q293679	1955	ALIVE	36	Saudi Arabian businessman, investor and royal
Muntadhar al-Zaidi	Q205360	1979	ALIVE	43	Iraqi journalist (born 1979)
Ayman al-Zawahiri	Q186316	1951	2022	86	al-Qaeda terrorist leader (1951–2022), Muslim jurist and theologian (Sunni), surgeon
Alabama (band)	Q2140332	UNKNOWN	ALIVE	20	American musical group; country music band
Yemi Alade	Q18016138	1989	ALIVE	28	Nigerian singer and songwriter
George Alagiah	Q845156	1955	2023	11	British newsreader and journalist (1955–2023)
Folorunso Alakija	Q8564253	1951	ALIVE	20	Nigerian businessperson and philanthropist
Alan Rufus	Q2067294	1100	1093	18	relative and companion of William I of England (the conquerer)
Alan Brooke, 1st Viscount Alanbrooke	Q335889	1883	1963	31	British Field Marshal (1883-1963)
Alara of Kush	Q533610	-900	-765	20	King of Nubia before the 25th dynasty
Leopoldo Alas	Q312747	1852	1901	38	Spanish author (1852–1901)
Jessica Alba	Q44077	1981	ALIVE	97	American actress (born 1981)
Anthony Albanese	Q335697	1963	ALIVE	77	31st prime minister of Australia since 2022
Edward Albee	Q219420	1928	2016	53	American playwright (1928–2016)
George Monck, 1st Duke of Albemarle	Q335106	1608	1670	33	English soldier and politician (1608-1670)
Isaac Albéniz	Q185812	1860	1909	58	Spanish composer (1860-1909)
Hans Albers	Q561231	1891	1960	34	German actor (1891-1960)
Josef Albers	Q170071	1888	1976	45	German-American designer, painter, educator and typographer (1888–1976)
Albert I of Belgium	Q55008046	1875	1934	64	King of the Belgians from 1909 to 1934 (1875–1934)
Albert II of Belgium	Q3911	1934	ALIVE	80	sixth king of the Belgians
Albert of Saxony (philosopher)	Q61044	1316	1390	28	German theologian and philosopher (c.1320-1390)
Albert Frederick, Duke of Prussia	Q40647	1553	1618	33	16th century Duke of Prussia
Albert I, Prince of Monaco	Q159646	1848	1922	39	Prince of Monaco (1848-1922)
Albert, Duke of Prussia	Q40433	1490	1568	43	Duke of Prussia from 1525 to 1568
Prince Albert of Saxe-Coburg and Gotha	Q152245	1819	1861	63	Consort of Queen Victoria from 1840 to 1861 (1819–1861)
Jack Albertson	Q344735	1907	1981	43	American actor (1907–1981)
Albertus Magnus	Q60059	1193	1280	78	German-Dominican friar and saint (c. 1200–1280)
Tomaso Albinoni	Q174606	1671	1751	59	Italian composer and violinist (1671–1751)
Alboin	Q152877	530	572	40	King of the Lombards
Karl Albrecht	Q30863	1920	2014	32	German entrepreneur (1920-2014)
Theo Albrecht	Q57771	1922	2010	25	German entrepreneur (1922-2010)
Madeleine Albright	Q174438	1937	2022	86	United States Secretary of State from 1997 to 2001
Alcaeus	Q212872	-630	-560	48	Greek lyric poet
Alcamenes	Q505640	-500	-400	27	5th-century BC Greek sculptor
Paulino Alcántara	Q277365	1896	1964	46	Spanish footballer (1896-1964)
Alcman	Q298850	UNKNOWN	-601	39	ancient Greek poet
Amos Bronson Alcott	Q474235	1799	1888	26	American teacher, writer, philosopher, and reformer (1799-1888)
Louisa May Alcott	Q185696	1832	1888	76	American novelist (1832–1888)
Alcuin	Q154332	724	804	54	8th-century Northumbrian scholar, clergyman, poet, and teacher
Alan Alda	Q310394	1936	ALIVE	62	American actor (born 1936)
Mark Aldanov	Q932891	1886	1957	19	Russian writer and critic (1886-1957)
Richard Aldington	Q514998	1892	1962	41	English writer and poet (1892–1962)
Nelson W. Aldrich	Q927573	1841	1915	19	American politician (1841-1915)
Robert Aldrich	Q95133	1918	1983	39	American film director, screenwriter and producer (1918–1983)
Ira Aldridge	Q520060	1807	1867	19	American-British stage actor (1807-1867)
Buzz Aldrin	Q2252	1930	ALIVE	102	American astronaut (born 1930)
Sholem Aleichem	Q238090	1859	1916	50	Jewish writer and playwright of Yiddish, who worked in Russian Empire, Switzerland, Germany and the United States (1859-1916)
Vicente Aleixandre	Q134644	1898	1984	79	Spanish poet (1898–1984)
Alexander Alekhine	Q131374	1892	1946	70	Russian-French chess player (1892–1946)
Vagit Alekperov	Q451455	1950	ALIVE	34	Russian businessman
Vasily Alekseyev	Q225193	1942	2011	33	Soviet weightlifter (1942-2011)
Grace Alele-Williams	Q5590971	1932	2022	23	Nigerian mathematician (1932–2022)
José de Alencar	Q455703	1829	1877	31	Brazilian writer (1829–1877)
Arturo Alessandri	Q848	1868	1950	34	Chilean politician and President (1868–1950)
Pope Alexander I	Q80028	100	116	85	6th Pope of the Catholic Church from c. 107 to c. 115
Alexander I of Yugoslavia	Q207384	1888	1934	54	Prince regent of Kingdom of Serbia and later King of Yugoslavia 1921–34
Pope Alexander III	Q160116	1100	1181	78	pope of the Catholic Church from 1159 to 1181
Alexander III of Russia	Q120180	1845	1894	88	Emperor of Russia from 1881 to 1894
Harold Alexander, 1st Earl Alexander of Tunis	Q39168	1891	1969	42	British military commander and field marshal; Governor General of Canada (1891-1969)
Grover Cleveland Alexander	Q1972390	1887	1950	14	American baseball player (1887-1950)
Alexandra Feodorovna (Alix of Hesse)	Q152094	1872	1918	59	Empress consort of Russia (1872–1918)
Pavel Alexandrov	Q325696	1896	1982	39	Russian mathematician (1896–1982)
Haris Alexiou	Q232752	1950	ALIVE	27	Greek musician
Alexius, Metropolitan of Kiev	Q717251	1290	1378	17	Metropolitan of Russia
Patriarch Alexy I of Moscow	Q547702	1877	1970	24	Patriarch of Moscow and all Rus' (1877–1970)
David Alfaro Siqueiros	Q315647	1896	1974	43	Mexican painter and muralist (1908–1974)
Eloy Alfaro	Q378158	1842	1912	28	President of Ecuador (1897 - 1901) / (1906 - 1914)
Zhores Alferov	Q183279	1930	2019	79	Soviet-Russian physicist (1930–2019)
Vittorio Alfieri	Q296244	1749	1803	40	Italian noble, dramatist and poet (1749–1803)
Raúl Alfonsín	Q193062	1927	2009	60	Argentine politician
Alfonso II of Aragon	Q299156	1157	1196	42	Aragonese monarch (1157-1196)
Alfonso II of Asturias	Q360388	759	842	37	King of Galicia (c. 760 – 842)
Alfonso VI of León and Castile	Q235080	1040	1109	47	King of León (1065 to 1109), of Castile (1072 to 1109), and of Galicia (1071 to 1109)
Alfonso VII of León and Castile	Q312767	1105	1157	43	Castilian monarch
Alfonso IX of León	Q316115	1171	1230	43	King of León and Galicia from 1188 to 1230
Alfonso X of Castile	Q47595	1221	1284	59	King of Castile from 1252 to 1284
Alfonso XIII	Q18363	1886	1941	74	King of Spain from 1886 to 1931 (1886–1941)
Hannes Alfvén	Q54945	1908	1995	78	Swedish electrical engineer, plasma physicist and science fiction author (1908–1995), winner of the 1970 Nobel Prize for Physics
Alessandro Algardi	Q336798	1595	1654	39	Italian sculptor (1598–1654)
Francesco Algarotti	Q439081	1712	1764	25	Italian philosopher (1712-1764)
Horatio Alger	Q453251	1832	1899	29	American novelist (1832–1899)
Nelson Algren	Q547914	1909	1981	32	American novelist, short story writer (1909-1981)
Abdul-Malik al-Houthi	Q2558262	1979	ALIVE	31	Leader of the Ansar Allah since 2004
Ali al-Hadi	Q315377	829	868	34	tenth of the Twelve Shia Imams (828–868)
Ali Pasha of Yanina	Q297285	1750	1822	41	Albanian ruler (1740–1822)
Ahmed Ali (writer)	Q4695257	1910	1994	17	Pakistani novelist and poet (1910–1994)
Ayaan Hirsi Ali	Q214475	1969	ALIVE	56	Dutch-American political activist and author
Hadji Ali	Q2590131	1888	1937	18	Egyptian vaudeville performance artist
Laila Ali	Q255099	1977	ALIVE	41	American television personality and retired professional boxer
Mahershala Ali	Q360531	1974	ALIVE	63	American actor
Mir Sayyid Ali	Q1937873	1510	1572	11	Persian illustrator and painter (1510–1572)
Sonni Ali	Q945436	1464	1492	25	King of the Songhai Empire
Alice in Chains	Q484255	UNKNOWN	ALIVE	61	American rock band
Saul Alinsky	Q25649	1909	1972	25	American community organizer and writer (1909–1972)
Heydar Aliyev	Q157451	1923	2003	80	3rd President of the Republic of Azerbaijan (1923–2003)
