,label,qid,track,start,end,score,desc
41,Pāṇini,Q189725,41,-520,-460,73,ancient Sanskrit grammarian
42,Ajatashatru,Q379242,42,-500,-460,41,King of Magadha Empire from c. 492 to 460 BCE
43,Themistocles,Q179552,43,-524,-459,71,Athenian politician and general (c. 524–459 BC)
44,Aeschylus,Q40939,44,-525,-456,104,ancient Athenian playwright
45,Bacchylides,Q310681,45,-516,-451,37,Greek lyric poet (c. 518 – c. 451 BC)
46,Pindar,Q134929,46,-522,-450,68,ancient Greek lyric poet
47,Cimon,Q218102,47,-510,-450,42,Athenian statesman
48,Epicharmus of Cos,Q312410,48,-524,-435,32,late 6th/early 5th century BC Greek dramatist and philosopher
49,Lucius Quinctius Cincinnatus,Q309637,49,-519,-430,41,two time Roman dictator
50,Empedocles,Q83375,50,-490,-430,84,5th century BC Greek philosopher
51,Phidias,Q177302,51,-490,-430,70,"Greek sculptor, painter and architect (c.480–430 BC)"
52,Pericles,Q80398,52,-494,-429,94,"Athenian statesman, orator and general (c. 495 – 429 BC)"
53,Anaxagoras,Q83041,53,-500,-428,81,5th-century BC Greek philosopher
54,Zeno of Elea,Q132157,54,-490,-425,78,Greek philosopher (c. 495 – c. 430 BC)
55,Herodotus,Q26825,55,-484,-425,147,Greek historian and geographer (c.484–c.425 BC)
56,Artaxerxes I,Q189689,56,-500,-424,66,sixth Achaemenid emperor (475–424 BC)
57,Protagoras,Q169243,57,-486,-420,72,Pre-Socratic Greek philosopher (c.490–c.420 BC)
58,Hippocrates of Chios,Q312629,58,-470,-410,40,5th-century BC Greek mathematician and astronomer
59,Sophocles,Q7235,59,-496,-406,154,ancient Greek playwright
60,Euripides,Q48305,60,-480,-406,100,Classical Athenian playwright
61,Alcibiades,Q187982,61,-450,-404,67,Athenian statesman
62,Socrates,Q913,62,-470,-399,205,5th-century BCE Greek philosopher
63,Thucydides,Q41683,0,-460,-395,93,5th-century BC Athenian historian and general
64,Mozi,Q272411,1,-470,-391,56,5th-century BC Chinese philosopher and founder of Mohism
65,Aristophanes,Q43353,2,-448,-386,101,Classical Athenian comic playwright (c. 446 – c. 386 BC)
66,Hippocrates,Q5264,3,-460,-370,123,Greek physician (c. 460 – c. 370 BC)
67,Amyntas III of Macedon,Q313907,4,-450,-370,33,king of Macedonia from 393/2 to 370 BC
68,Dionysius I of Syracuse,Q332750,5,-430,-367,41,Greek tyrant of Syracuse (c. 432 – 367 BC)
69,Antisthenes,Q179149,6,-445,-365,62,"Greek philosopher, founder of Cynicism (c.446–c.366 BCE)"
70,Nectanebo I,Q175775,7,-450,-362,40,4th-century BC Egyptian pharaoh
71,Epaminondas,Q190436,8,-418,-362,53,Theban general and statesman (419/411–362 BC)
72,Democritus,Q41980,9,-460,-360,106,Greek philosopher (c. 460–c. 370 BC)
73,Eudoxus of Cnidus,Q185150,10,-408,-355,65,Greek astronomer and mathematician (c.408–c.355 BC)
74,Xenophon,Q129772,11,-430,-354,92,"Greek philosopher, historian, soldier (c. 430–355/354 BC)"
75,Plato,Q859,12,-427,-347,220,4th-century BCE Greek philosopher
76,Archytas,Q202001,13,-430,-345,57,"4th-century BC Greek philosopher, mathematician, astronomer and statesman"
77,Nectanebo II,Q313126,14,-400,-343,44,last Egyptian pharaoh of the 30th dynasty
78,Isocrates,Q221182,15,-436,-338,48,Greek rhetorician and writer (436–338 BC)
79,Artaxerxes III,Q192867,16,-425,-338,58,The 11th Achaemenid Emperor (358–338 BC)
80,Philip II of Macedon,Q130650,17,-385,-336,82,King of Macedon from 359 to 336 BC
81,Praxiteles,Q105290,18,-395,-330,53,Attic sculptor
82,Darius III,Q102865,19,-380,-330,77,last king of the Achaemenid Empire (r. 336–330 BC)
83,Bessus,Q296434,20,-400,-329,45,Achaemenid satrap and pretender to throne (died 329 BC)
84,Diogenes,Q59180,21,-412,-323,84,4th-century BC Greek Cynic philosopher
85,Alexander the Great,Q8409,22,-356,-323,220,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC)
86,Aristotle,Q868,23,-384,-322,231,4th-century BCE Classical Greek philosopher and polymath
87,Demosthenes,Q117253,24,-384,-322,76,classical Athenian statesman and orator (384–322 BC)
88,Antipater,Q204760,25,-397,-319,46,Macedonian general and regent
89,Porus,Q28935,26,-400,-316,51,ancient Indian king
90,Olympias,Q223134,27,-375,-316,51,mother of Alexander the Great
91,Eumenes,Q297366,28,-362,-316,37,Greek general and satrap (c. 362 – 316 BC)
92,Apelles,Q216822,29,-370,-306,48,4th century BC Greek painter
93,Antigonus I Monophthalmus,Q200401,30,-382,-301,51,"Macedonian general, founder of Antigonid dynasty (382–301 BC)"
94,Lysippos,Q192222,31,-390,-300,49,4th-century BC Greek sculptor
95,Chandragupta Maurya,Q188541,32,-340,-297,82,founder of the Maurya Empire (350–295 BCE)
96,Cassander,Q207183,33,-355,-296,46,king of Macedonia
97,Menander,Q118992,34,-340,-292,70,Athenian playwright of New Comedy
98,Megasthenes,Q312548,35,-350,-290,43,ancient Greek ethnographer and explorer
99,Mencius,Q188903,36,-372,-289,76,Chinese Confucian philosopher (372–289 BC)
100,Pytheas,Q189971,37,-359,-289,58,ancient Greek explorer
101,Zhuang Zhou,Q47739,38,-369,-288,71,Chinese Taoist philosopher (c. 369–286 BC)
102,Theophrastus,Q160362,39,-371,-287,74,Greek philosopher (c.371-c.287 BC)
103,Ptolemy I Soter,Q168261,40,-365,-285,78,"Macedonian general, ruler of Egypt"
104,Chanakya,Q9045,41,-375,-283,125,4th-century BCE Indian statesman and philosopher
105,Demetrius I Poliorcetes,Q59734,42,-336,-283,44,king of Macedon
106,Lysimachus,Q32133,43,-361,-281,50,"Macedonian officer, one of Alexander's successor kings"
107,Seleucus I Nicator,Q184176,44,-358,-281,73,general of Alexander and founder of the Seleucid dynasty
108,Qu Yuan,Q313330,45,-343,-278,58,Chinese poet and politician (c.340–278 BC)
109,Bindusara,Q315526,46,-320,-273,53,Mauryan Emperor
110,Pyrrhus of Epirus,Q172353,47,-318,-272,75,king of Epirus from 307 to 302 and 297 to 272 BC
111,Pyrrho,Q192313,48,-360,-270,50,Greek philosopher and founder of Pyrrhonism (c.360-c.270 BC)
112,Epicurus,Q43216,49,-342,-270,100,ancient Greek philosopher
113,Zeno of Citium,Q171303,50,-334,-263,70,"Greek philosopher, founder of Stoicism"
114,Ptolemy II Philadelphus,Q39576,51,-308,-246,67,king of the Ptolemaic dynasty in Egypt (308–246 B.C.)
115,Callimachus,Q192417,52,-320,-243,53,"3rd-century BC Greek poet, scholar and librarian"
116,Aratus,Q180671,53,-315,-240,39,Greek didactic poet (c. 315/310–240 BC)
117,Ashoka,Q8589,54,-304,-232,164,Mauryan emperor from 268 to 232 BCE
118,Han Fei,Q28959,55,-279,-232,59,"Chinese Legalist, 280–233 BCE"
119,Xunzi (philosopher),Q216072,56,-313,-230,57,Chinese Confucian philosopher (c. 310 – after 238 BCE)
120,Aristarchus of Samos,Q140188,57,-310,-230,72,Greek astronomer and mathematician (c.310–c.230 BC)
121,Hamilcar Barca,Q185101,58,-275,-228,59,Carthaginian general
122,Ptolemy III Euergetes,Q39602,59,-284,-222,55,Egyptian pharaoh
123,Hiero II of Syracuse,Q313675,60,-308,-215,41,3rd-century BC Sicilian Greek ruler
124,Apollonius of Rhodes,Q192638,61,-295,-215,52,3rd century BC Greek epic poet
125,Archimedes,Q8739,62,-287,-212,191,Greek mathematician and physicist (c. 287 – c. 212 BC)
126,Qin Shi Huang,Q7192,63,-259,-210,185,first emperor of Qin Dynasty
127,Li Si,Q152919,64,-280,-208,47,Chinese politician of the Qin Dynasty
128,Marcus Claudius Marcellus,Q312306,65,-270,-208,34,"general and five time consul of the Roman Republic, awareded the Spolia opima for his victories during the Gallic and Punic Wars"
129,Hasdrubal Barca,Q311702,66,-245,-207,40,Carthaginian general (245–207 BC)
130,Quintus Fabius Pictor,Q313500,67,-254,-201,31,3rd-century BC Roman historian
131,Livius Andronicus,Q193058,68,-280,-200,55,3rd-century BC Greco-Roman dramatist and epic poet
132,Emperor Gaozu of Han,Q7210,69,-256,-195,61,founding emperor of the Han dynasty (256–195 BC)
133,Eratosthenes,Q43182,70,-276,-194,102,"Greek mathematician, geographer, poet, astronomer, librarian and music theorist"
134,Apollonius of Perga,Q180109,71,-262,-190,69,ancient Greek geometer and astronomer noted for his writings on conic sections
135,Antiochus III the Great,Q3365,72,-242,-187,62,sixth Seleucid emperor (223–187 BC)
136,Plautus,Q47160,73,-250,-184,67,Roman comic playwright (c. 254 – 184 BC)
137,Philopoemen,Q366117,74,-253,-183,34,ancient Greek general
138,Hannibal,Q36456,75,-247,-183,116,Carthaginian general (247–183/181 BC)
139,Scipio Africanus,Q2253,76,-235,-183,68,Roman general and politician (236/235–183 BC)
140,Modu Chanyu,Q382816,77,-234,-174,41,Chanyu of the Xiongnu Empire from 209 to 174 BCE
141,Ennius,Q47130,78,-239,-169,50,Roman writer and poet (c. 239 – c. 169 BC)
142,Antiochus IV Epiphanes,Q3356,79,-215,-164,55,king of the Seleucid Empire (175–164 BC)
143,Kaṇāda,Q29049,80,-200,-160,49,Vedic sage and founder of Deepak school of Hindu philosophy
144,Terence,Q172048,81,-185,-159,62,Roman comic playwright (2nd cent. BC)
145,Cato the Elder,Q180081,82,-234,-149,70,"Roman politician, soldier and writer (234–149 BC)"
146,Masinissa,Q314685,83,-238,-148,45,first king of Numidia from 202 BC to 148 BC
147,Tiberius Gracchus,Q212109,0,-162,-133,52,ancient Rome politician
148,Mithridates I of Parthia,Q312442,1,-195,-132,49,king of Parthian Empire from 165 to 132 BC
149,Carneades,Q284994,2,-213,-129,43,ancient Greek philosopher
150,Scipio Aemilianus,Q2307,3,-185,-129,46,Roman politician and general (185–129 BC)
151,Gaius Gracchus,Q297183,4,-154,-122,44,ancient Roman politician
152,Polybius,Q131169,5,-200,-120,70,ancient Greek historian
153,Hipparchus,Q159905,6,-190,-120,77,"2nd century Greek astronomer, geographer and mathematician"
154,Zhang Qian,Q197276,7,-200,-114,41,imperial envoy to the world outside of China in the 2nd century BC
155,Dong Zhongshu,Q445626,8,-179,-104,31,"Premier Confucian scholar, philosopher, and official during the Western Han"
156,Jugurtha,Q156173,9,-160,-104,47,King of the Berber kingdom of Numidia (present-day Algeria)
157,Emperor Wu of Han,Q7225,10,-156,-87,68,seventh emperor of the Han dynasty of China (157 BC–87 BC)
158,Gaius Marius,Q177975,11,-157,-86,65,"Roman general, statesman and military reformer (157-86 BC)"
159,Sima Qian,Q9372,12,-145,-86,124,2nd-century BCE Chinese historian and writer
160,Sulla,Q483783,13,-138,-78,68,Roman dictator and general
161,Quintus Sertorius,Q296238,14,-123,-72,39,Roman rebel leader (Sertorian War)
162,Spartacus,Q83406,15,-103,-71,86,Thracian gladiator who led a slave uprising against the Roman Republic
163,Mithridates VI Eupator,Q185126,16,-134,-63,65,ruler of the Kingdom of Pontus from 120 to 63 BC
164,Catiline,Q75826,17,-108,-62,47,"Roman politician, senator and soldier (c.108–62 BC)"
165,Tigranes the Great,Q201303,18,-140,-55,73,king of Armenia
166,Lucretius,Q47154,19,-94,-55,81,1st-century BC Roman poet and philosopher
167,Catullus,Q163079,20,-84,-54,74,lyric Latin poet of the Roman Republic
168,Marcus Licinius Crassus,Q175121,21,-115,-53,69,member of the First Triumvirate
169,Posidonius,Q185770,22,-135,-51,55,Greek Stoic philosopher (c.135 – c.51 BC)
170,Ptolemy XII Auletes,Q39991,23,-117,-51,50,1st-century BC Egyptian pharaoh
171,Pompey,Q125414,24,-106,-48,88,Roman general and statesman (106–48 BC)
172,Cato the Younger,Q193506,25,-95,-46,52,"Roman statesman, general and writer (95–46 BC)"
173,Vercingetorix,Q178953,26,-80,-46,68,"protohistoric chieftain of the Arverni tribe, defeated by Julius Caesar during the Gallic wars"
174,Julius Caesar,Q1048,27,-100,-44,217,Roman general and dictator
175,Cicero,Q1541,28,-106,-43,135,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
176,Marcus Junius Brutus,Q172248,29,-85,-42,65,assassin of Julius Caesar
177,Sallust,Q7170,30,-86,-35,52,Roman historian and politician (86 BC - c. 35 BC)
178,Mark Antony,Q51673,31,-83,-30,92,Roman politician and general (83 BC – 30 BC)
179,Cleopatra,Q635,32,-69,-30,158,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BCE
180,Diodorus Siculus,Q171241,33,-90,-20,72,1st-century BC Greek historian
181,Virgil,Q1398,34,-70,-19,177,Roman poet (1st century BC)
182,Vitruvius,Q47163,35,-80,-15,80,Roman architect and engineer
183,Horace,Q6197,36,-65,-8,103,Roman lyric poet (65 BC – 8 BC)
184,Herod the Great,Q51672,37,-74,-4,73,king of Judea from 37/6 BCE to 4/1 BCE
185,Hillel the Elder,Q319219,38,-50,8,33,Jewish religious leader of the 1st century
186,Augustus,Q1405,39,-63,14,214,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
187,Livy,Q2039,40,-59,17,89,Roman historian (59 BC – AD 17)
188,Ovid,Q7198,41,-43,17,143,Roman poet (43 BC – 17/18 AD)
189,Saint Joseph,Q128267,42,-30,20,90,Christian saint; husband of Mary and father of Jesus
190,Arminius,Q68880,43,-17,21,75,"1st century chieftain of the Germanic Cherusci tribe, defeated the Romans in 9 AD"
191,Strabo,Q45936,44,-64,23,95,"Greek geographer, philosopher and historian (64/63 BC–c.24 AD)"
192,Wang Mang,Q7250,45,-45,23,49,Han dynasty official and founding Emperor of the Xin Dynasty (c.45 BC-23 AD)
193,Jesus,Q302,46,-7,30,281,central figure of Christianity (6 or 4 BC – AD 30 or 33) (5-33)
194,John the Baptist,Q40662,47,-6,30,115,1st-century Jewish itinerant preacher (Bible)
195,Tiberius,Q1407,48,-42,37,104,second Roman Emperor from 14 to 37 AD
196,Caligula,Q1409,49,12,41,116,third Roman emperor (37–41)
197,James the Great,Q43999,50,1,44,88,one of the Twelve Apostles of Jesus
198,Philo,Q189597,51,-15,45,57,Hellenistic Jewish philosopher who lived in Alexandria (c. 20 BCE-c. 50 CE)
199,"Mary, mother of Jesus",Q345,52,-18,48,162,mother of Jesus Christ
200,Claudius,Q1411,53,-10,54,97,fourth Roman emperor (41–54)
201,Boudica,Q184634,54,30,61,76,queen of the British Iceni tribe
202,Seneca the Younger,Q2054,55,-4,65,100,"Roman Stoic philosopher, statesman and dramatist (c. 4 BCE–65 CE)"
203,Saint Peter,Q33923,56,-1,65,129,apostle of Jesus Christ
204,Paul the Apostle,Q9200,57,5,66,154,Early Christian apostle and missionary (c. AD 5 – c. 64/65)
205,Mark the Evangelist,Q31966,58,12,68,84,credited author of the Gospel of Mark and Christian saint; traditionally identified with John Mark (20-68)
206,Nero,Q1413,59,37,68,113,fifth and last Roman Emperor of Julio-Claudian dynasty (54–68)
207,Thomas the Apostle,Q43669,60,1,72,83,Apostle of Jesus Christ
208,Matthew the Apostle,Q43600,61,10,74,92,Christian evangelist and apostle (10-74)
209,Vespasian,Q1419,62,9,79,91,ninth Roman Emperor and founder of the Flavian dynasty (69–79)
210,Pope Linus,Q47144,63,10,79,97,2nd Pope of the Catholic Church
211,Pliny the Elder,Q82778,64,20,79,91,1st-century Roman military commander and writer
212,Philip the Apostle,Q43675,65,5,80,74,Christian saint and apostle
213,Kujula Kadphises,Q560157,66,20,80,31,Founder of the Kushan empire (30–80)
214,Titus,Q1421,67,41,81,90,tenth Roman Emperor (79–81)
215,Dioscorides,Q297776,68,40,90,49,Greco-Roman physician and pharmacologist (AD c.40-90)
216,Domitian,Q1423,69,51,96,92,11th Roman Emperor (81–96)
217,Nerva,Q1424,70,30,98,82,12th Roman Emperor (96–98)
218,John the Apostle,Q44015,71,11,99,86,"apostle of Jesus; son of Zebedee and Salome, brother of James; traditionally identified with John the Evangelist, John of Patmos, and the Beloved Disciple"
219,Josephus,Q134461,72,37,100,75,Roman–Jewish historian and military leader (c. 37–c. 100)
220,Martial,Q2098,73,40,104,56,1st-century Latin poet from Hispania
221,Decebalus,Q28928,0,100,106,46,king of Dacia
222,Simon the Zealot,Q12871,1,100,107,75,apostle of Jesus
223,Ignatius of Antioch,Q44170,2,35,108,65,late 1st/early 2nd century Christian author and Patriarch of Antioch
224,Pliny the Younger,Q168707,3,61,113,75,"Roman lawyer, author and magistrate (61 – c.113)"
225,Pope Alexander I,Q80028,4,100,116,85,6th Pope of the Catholic Church from c. 107 to c. 115
226,Trajan,Q1425,5,53,117,111,13th Roman Emperor (98–117)
227,Plutarch,Q41523,6,40,120,101,Greek philosopher and historian (c. AD 46 – after AD 119)
228,Tacitus,Q2161,7,56,120,92,Roman historian and senator (c. 56 – c. 120)
229,Cai Lun,Q229235,8,48,121,73,Chinese official credited with inventing paper (died 121)
230,Apollodorus of Damascus,Q189375,9,50,125,45,2nd century Syrian Roman architect and engineer
231,Suetonius,Q10133,10,70,126,70,late 1st/early 2nd-century Roman historian
232,Epictetus,Q183144,11,50,138,71,Greek Stoic philosopher (c. 50–c. 138)
233,Hadrian,Q1427,12,76,138,98,14th Roman Emperor (117–138)
234,Zhang Heng,Q197206,13,78,139,62,Chinese scientist and statesman (78–139)
235,Kanishka,Q312544,14,78,144,52,the fourth and greatest Kushan emperor (127–150)
236,Papias of Hierapolis,Q273053,15,70,150,40,"Greek Apostolic Father, Bishop of Hierapolis and author (c.60-c.130 AD)"
237,Aśvaghoṣa,Q312552,16,80,150,45,2nd century Buddhist Indian poet and philosopher
238,Polycarp,Q192371,17,69,155,55,Christian bishop of Smyrna
239,Marcion of Sinope,Q201346,18,85,160,46,Anatolian Christian theologian (c.85–c.160)
240,Antoninus Pius,Q1429,19,86,161,89,15th Roman Emperor (138–161)
241,Ptolemy,Q34943,20,100,170,122,"2nd-century Roman mathematician, astronomer, geographer"
242,Apuleius,Q170512,21,125,170,76,"2nd-century Numidian Latin-language writer, rhetorician and philosopher"
243,Arrian,Q31845,22,89,175,56,"2nd century Greek historian, official and philosopher"
244,Pausanias (geographer),Q192931,23,110,180,55,"ancient Greek geographer, travel writer and mythographer"
245,Gaius (jurist),Q313439,24,120,180,40,Roman jurist (2nd century AD)
246,Marcus Aurelius,Q1430,25,121,180,116,16th Roman Emperor from 161 to 180 and Stoic philosopher
247,Commodus,Q1434,26,161,192,81,17th Roman Emperor (180–192)
248,Lucian,Q177847,27,120,200,73,2nd-century Syrian satirist and rhetorician
249,Irenaeus,Q182123,28,130,202,63,2nd-century Greek bishop and Doctor of the Church
250,Papinian,Q315765,29,142,211,39,Roman jurist (142–212)
251,Septimius Severus,Q1442,30,146,211,86,Roman emperor from 193 to 211
252,Clement of Alexandria,Q188883,31,150,215,59,Christian theologian (c.150 – c.215)
253,Julia Domna,Q229246,32,165,217,43,ancient Roman empress
254,Caracalla,Q1446,33,188,217,86,Roman emperor from 198 to 217
255,Macrinus,Q1752,34,164,218,78,Roman emperor from 217 to 218
256,Tertullian,Q174929,35,150,220,69,Roman Christian theologian and writer (c. 155 – c. 220)
257,Cao Cao,Q204077,36,155,220,62,Chinese warlord and statesman (155–220)
258,Guan Yu,Q222797,37,162,220,46,Chinese general serving warlord Liu Bei (160-220)
259,Elagabalus,Q1762,38,203,222,80,Roman Emperor (218-222)
260,Liu Bei,Q245315,39,161,223,45,Chinese warlord and founding Emperor of Shu Han (161–223)
261,Cao Pi,Q313333,40,187,226,45,Cao Wei Emperror (187-226)
262,Cassius Dio,Q185223,41,150,229,65,Greco-Roman statesman and historian (c. 155–c. 235)
263,Zhuge Liang,Q198211,42,181,234,48,Chinese statesman and military strategist (181–234)
264,Severus Alexander,Q1769,43,208,235,77,Roman Emperor (208-235)
265,Maximinus Thrax,Q1777,44,173,238,72,Roman Emperor (173-238)
266,Ardashir I,Q371319,45,180,242,63,founder of the Sassanid Empire (224–242)
267,Philip the Arab,Q1817,46,204,249,76,Roman Emperor (204-249)
268,Nagarjuna,Q171195,47,150,250,108,3rd-century Indian Buddhist philosopher
269,Herodian,Q313056,48,170,250,37,Greco-Roman official and historian (c.170–c.240)
270,Sima Yi,Q353698,49,179,251,33,"Chinese general, politician and regent (179-251)"
271,Origen,Q170472,50,185,254,68,"Christian scholar, ascetic, and theologian (c. 185 – c. 253)"
272,Gallienus,Q104475,51,218,268,67,Roman emperor (218-268)
273,Plotinus,Q134189,52,205,270,78,Hellenistic Platonist philosopher and founder of Neoplatonism (c. 204/5–270)
274,Mani (prophet),Q203922,53,216,274,70,3rd century prophet and founder of Manichaeism
275,Aurelian,Q46780,54,214,275,82,Roman Emperor (C.E.214-275)
276,Zenobia,Q189705,55,240,275,60,3rd-century Queen of the Palmyrene Empire
277,Emperor Wu of Jin,Q7356,56,236,290,35,Emperor of the Jin Dynasty from 266 to 290
278,Liu Hui,Q316304,57,225,295,38,Chinese mathematician from Cao Wei (Three Kingdoms period)
279,Galen,Q8778,58,200,300,117,"2nd-century Greek physician, surgeon and philosopher"
280,Porphyry of Tyre,Q203445,59,233,301,57,3rd-century Greek Neoplatonist philosopher
281,Saint George,Q48438,60,275,303,88,Christian saint and martyr (died 303)
282,Diocletian,Q43107,61,244,316,87,Augustus of the Eastern Roman Empire (244-311)
283,Iamblichus,Q310916,62,240,320,47,Syrian Neoplatonist philosopher (c. 245 – c. 325)
284,Tiridates III of Armenia,Q172520,63,255,330,35,King of Armenia and Saint
285,Pope Sylvester I,Q47149,64,300,335,85,33rd pope and saint (reigned 314-335)
286,Arius,Q106026,65,250,336,72,Cyrenaic presbyter and founder of Arianism (died 336)
287,Constantine the Great,Q8413,66,272,337,141,Roman emperor from 306 to 337 and first to convert to Christianity (272–337)
288,Eusebius,Q142999,67,265,339,66,"Greek Christian scholar, c.260-c.340"
289,Saint Nicholas,Q44269,68,250,350,99,4th-century Christian bishop and saint
290,Pappus of Alexandria,Q211783,69,290,350,50,4th century Greek mathematician
291,Anthony the Great,Q170547,0,251,357,67,"Egyptian Christian monk, hermit, and saint (died 356)"
292,Hosius of Corduba,Q285693,1,256,357,30,Spanish bishop (256–359)
293,Constantius II,Q46418,2,317,361,72,Roman emperor (317-361)
294,Wang Xizhi,Q378564,3,321,361,34,Chinese calligrapher (c. 321 – c. 361)
295,Saint Marinus,Q544981,4,275,366,39,Sammarinese saint
296,Hilary of Poitiers,Q44344,5,315,367,55,Bishop of Poitiers (c. 310 – c. 367)
297,Athanasius of Alexandria,Q44024,6,296,373,69,Pope of Alexandria from 328 to 373 (296–373)
298,Ephrem the Syrian,Q200608,7,306,373,48,"Syriac saint, theologian and writer (c. 306 – 373)"
299,Valentinian I,Q46720,8,321,375,73,Roman emperor from 364 to 375
300,Ermanaric,Q28987,9,291,376,38,Greuthungian Gothic King
301,Shapur II,Q234860,10,309,379,61,The tenth Sasanian emperor (309–379)
302,Basil of Caesarea,Q44258,11,329,379,72,"4th-century Christian bishop, theologian, and saint (329–379)"
303,Samudragupta,Q1133363,12,335,380,51,4th-century ruler of the Gupta Empire
304,Pope Damasus I,Q130997,13,305,384,80,pope
305,Cyril of Jerusalem,Q298654,14,313,386,45,"Christian theologian, bishop, and saint (c. 313 – 386)"
306,Gregory of Nazianzus,Q44011,15,329,389,70,Christian saint and theologian (c. 329 – 390)
307,Gregory of Nyssa,Q191734,16,335,395,55,bishop of Nyssa
308,Theodosius I,Q46696,17,347,395,88,Roman emperor from 379 to 395
309,Martin of Tours,Q133704,18,316,397,77,Christian saint
310,Ambrose,Q43689,19,339,397,79,Roman theologian and Bishop of Milan (c. 340–397)
311,Vasubandhu,Q316343,20,300,399,45,4th/5th century Indian Buddhist monk
312,Theon of Alexandria,Q354384,21,335,400,33,ancient Greek scholar
313,John Chrysostom,Q43706,22,349,407,75,"Church Father, Archbishop of Constantinople and Christian saint (c. 347–407)"
314,Stilicho,Q203636,23,359,408,51,Roman army general (c.359 – 408)
315,Arcadius,Q159369,24,377,408,72,Roman Emperor from 395–408 (377-408)
316,Alaric I,Q102371,25,400,410,77,King of the Visigoths
317,Kumārajīva,Q335293,26,344,413,44,Kuchan Buddhist monk and translator (344-413)
318,Gwanggaeto the Great,Q498791,27,374,413,34,King of the Goguryeo dynasty of Korea (374–413) (r. 391–413)
